client_ts_utc,request_index,attempt_index,target_address,success,grpc_code,grpc_details,latency_ms_client,server_elapsed_ms,algo_reported_ms,replica_id,size,mode,threads
2025-12-23T14:44:33.948639Z,54,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.499,0.000,0.000,,1024,omp,4
2025-12-23T14:44:34.462681Z,55,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.023,0.000,0.000,,1024,omp,4
2025-12-23T14:44:34.976765Z,56,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.076,0.000,0.000,,1024,omp,4
2025-12-23T14:44:35.490077Z,57,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.561,0.000,0.000,,1024,omp,4
2025-12-23T14:44:36.004995Z,58,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.133,0.000,0.000,,1024,omp,4
2025-12-23T14:44:36.519703Z,59,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.117,0.000,0.000,,1024,omp,4
2025-12-23T14:44:37.028696Z,60,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.011,0.000,0.000,,1024,omp,4
2025-12-23T14:44:37.542025Z,61,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.575,0.000,0.000,,1024,omp,4
2025-12-23T14:44:38.055153Z,62,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.738,0.000,0.000,,1024,omp,4
2025-12-23T14:44:38.564960Z,63,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.146,0.000,0.000,,1024,omp,4
2025-12-23T14:44:39.080320Z,64,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.806,0.000,0.000,,1024,omp,4
2025-12-23T14:44:39.591896Z,65,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.365,0.000,0.000,,1024,omp,4
2025-12-23T14:44:40.108301Z,66,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.514,0.000,0.000,,1024,omp,4
2025-12-23T14:44:40.623459Z,67,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.536,0.000,0.000,,1024,omp,4
2025-12-23T14:44:41.138314Z,68,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.668,0.000,0.000,,1024,omp,4
2025-12-23T14:44:41.649023Z,69,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.002,0.000,0.000,,1024,omp,4
2025-12-23T14:44:42.162689Z,70,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.525,0.000,0.000,,1024,omp,4
2025-12-23T14:44:42.679565Z,71,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.357,0.000,0.000,,1024,omp,4
2025-12-23T14:44:43.182902Z,72,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.176,0.000,0.000,,1024,omp,4
2025-12-23T14:44:43.699998Z,73,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.400,0.000,0.000,,1024,omp,4
2025-12-23T14:44:44.212221Z,74,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.728,0.000,0.000,,1024,omp,4
2025-12-23T14:44:44.726442Z,75,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.043,0.000,0.000,,1024,omp,4
2025-12-23T14:44:45.239113Z,76,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.559,0.000,0.000,,1024,omp,4
2025-12-23T14:44:45.755284Z,77,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.021,0.000,0.000,,1024,omp,4
2025-12-23T14:44:46.264303Z,78,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.088,0.000,0.000,,1024,omp,4
2025-12-23T14:44:46.776896Z,79,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.607,0.000,0.000,,1024,omp,4
2025-12-23T14:44:47.289590Z,80,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.396,0.000,0.000,,1024,omp,4
2025-12-23T14:44:47.801093Z,81,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.375,0.000,0.000,,1024,omp,4
2025-12-23T14:44:48.313153Z,82,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,4.219,0.000,0.000,,1024,omp,4
2025-12-23T14:44:48.829722Z,83,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.523,0.000,0.000,,1024,omp,4
2025-12-23T14:44:49.341598Z,84,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.917,0.000,0.000,,1024,omp,4
2025-12-23T14:44:49.854759Z,85,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.551,0.000,0.000,,1024,omp,4
2025-12-23T14:44:50.366253Z,86,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.056,0.000,0.000,,1024,omp,4
2025-12-23T14:44:50.878489Z,87,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.173,0.000,0.000,,1024,omp,4
2025-12-23T14:44:51.394588Z,88,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.513,0.000,0.000,,1024,omp,4
2025-12-23T14:44:51.908542Z,89,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.008,0.000,0.000,,1024,omp,4
2025-12-23T14:44:52.423395Z,90,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.647,0.000,0.000,,1024,omp,4
2025-12-23T14:44:52.938333Z,91,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.173,0.000,0.000,,1024,omp,4
2025-12-23T14:44:53.453681Z,92,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.825,0.000,0.000,,1024,omp,4
2025-12-23T14:44:53.965776Z,93,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.294,0.000,0.000,,1024,omp,4
2025-12-23T14:44:54.479775Z,94,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,4.323,0.000,0.000,,1024,omp,4
2025-12-23T14:44:54.990628Z,95,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.522,0.000,0.000,,1024,omp,4
2025-12-23T14:44:55.504607Z,96,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.825,0.000,0.000,,1024,omp,4
2025-12-23T14:44:56.016067Z,97,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,2.187,0.000,0.000,,1024,omp,4
2025-12-23T14:44:56.528474Z,98,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,1.866,0.000,0.000,,1024,omp,4
2025-12-23T14:44:57.041874Z,99,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.025,0.000,0.000,,1024,omp,4
2025-12-23T14:44:57.557469Z,100,1,localhost:50052,False,StatusCode.UNKNOWN,Exception calling application: [WinError 193] %1 is not a valid Win32 application,3.818,0.000,0.000,,1024,omp,4
